Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
NaN,0.11662713204563424,0.11662713204563424,0.4014163098837325,0.3633633345729427,0.008954659652051888,0.06404099018457929,0.3563898827839227,0.3915168045062016,0.17684909707327195,NaN
NaN,0.09877477973568281,0.09877477973568281,0.43781324188868337,0.3587454318820286,0.1771007433891877,0.38108959745483656,0.32081236150998926,0.34295617848050736,0.3192859332947228,NaN
NaN,0.08643705780269656,0.08643705780269656,0.4884215406505033,0.3515804759198075,0.19278017282746807,0.0827089539513937,0.3350269572904142,0.32149782338136607,0.17240565242318975,NaN
NaN,0.05821271239773442,0.05821271239773442,0.6554675681931965,0.3410990675691328,0.21571715995128926,0.15507598664058023,0.35582108131573864,0.3446517155086371,0.31138281613396235,NaN
NaN,0.04641283826305852,0.04641283826305852,0.7270657141780474,0.32264065817281157,0.21571715995128926,0.1393055473211992,0.4109948237295997,0.3446517155086371,0.6510731610073758,NaN
NaN,0.05781938325991189,0.05781938325991189,0.5936098654708517,0.31318413316188837,0.36084778739081835,0.06277100970472847,0.3626158771795146,0.3382246001079916,0.30984891063576553,NaN
NaN,NaN,NaN,NaN,0.003777788654495566,0.9921364909600203,0.0,0.9921582438222691,0.0,0.0,NaN
NaN,NaN,NaN,NaN,0.002825806008183232,0.9941180534109195,0.0,0.9941343246675883,0.0,0.0,NaN
NaN,NaN,NaN,NaN,0.001878873667686814,0.9960891035941746,0.0,0.996099922325399,0.0,0.0,NaN
NaN,NaN,NaN,NaN,9.369515512141454E-4,0.9980497249404813,0.0,0.9980551199956025,0.0,0.0,NaN
NaN,NaN,NaN,NaN,9.369515512141454E-4,0.9980497249404813,0.0,0.9980551199956025,0.0,0.0,NaN
NaN,NaN,NaN,NaN,0.0,1.0,0.0,1.0,0.0,0.0,NaN
NaN,NaN,NaN,NaN,0.0,1.0,0.0,1.0,0.0,0.0,NaN
NaN,0.0,0.0,1.0,0.023943730908775007,0.9501608581973122,0.0,0.9502987284510018,0.04470528860760216,0.0,NaN
NaN,0.0,0.0,1.0,0.03717211868490588,0.9226258221284804,0.0,0.9228398626826777,0.04547832220431508,0.0,NaN
NaN,0.0,0.0,1.0,0.03831638712070662,0.9202440146712594,0.0,0.9204646440306907,0.04554456660784042,0.0,NaN
NaN,0.0,0.0,1.0,0.020775199479157118,0.9567561915573747,0.0,0.9568758171091968,0.06278101969177974,0.0,NaN
NaN,0.03854625550660793,0.03854625550660793,0.5383803745713531,0.009598040280730693,0.9043033325673211,0.005755426815745203,0.9498733268720256,0.0690511572617064,0.0,NaN
NaN,0.0,0.0,1.0,0.010586534103121223,0.9779640116916333,0.0,0.9780249699503127,0.06914387791500755,0.0,NaN
NaN,0.0,0.0,1.0,0.050138196562865396,0.8956367870258728,0.0,0.8959254874755227,0.07275254658669758,0.0,NaN
NaN,0.07066813509544788,0.07066813509544788,0.3460388639760837,0.04902403793488419,0.7393457382953181,0.11377245508982035,0.83957657283727,0.0791066353227146,0.0,NaN
NaN,0.0,0.0,1.0,0.06661461185435062,0.8613409456116445,0.0,0.8617245188096054,0.08115424699000731,0.0,NaN
NaN,0.03854625550660793,0.03854625550660793,0.5383803745713531,0.07743859380196005,0.6591320538738734,0.013657572315176721,0.7675839628031066,0.08217446085869648,0.0,NaN
NaN,0.03212187958883995,0.03212187958883995,0.6153169788094609,0.07743859380196005,0.7489713804258915,0.006828786157588361,0.8034202842423347,0.08217446085869648,0.0,NaN
NaN,0.0,0.0,1.0,0.04651754686505797,0.9031732095823405,0.0,0.903441061990628,0.08544028038507682,0.0,NaN
NaN,0.005506607929515416,0.005506607929515416,0.934054339224479,0.05143835963724257,0.9006761114897783,0.006358540404221498,0.8675823208311322,0.08556573911507359,0.0,NaN
NaN,0.15418502202643172,0.15418502202643172,0.07676074914270635,0.008614889668191017,0.6800136270724506,0.04017910125694557,0.951995735830918,0.08686755413919844,0.0,NaN
NaN,0.005506607929515416,0.005506607929515416,0.934054339224479,0.07468072619709787,0.7552859656787491,0.19676940049613234,0.8093739223089158,0.08833496217607269,0.0,NaN
NaN,0.0,0.0,1.0,0.07883087212505978,0.835912664185909,0.19182280600090143,0.8363665797590444,0.08875291125067851,0.0,NaN
NaN,0.03854625550660793,0.03854625550660793,0.5383803745713531,0.01561069691940337,0.8905363798411927,0.017551673512479174,0.9368933051399555,0.09287260940040143,0.0,NaN
